id_penjualan,id_invoice,tanggal,id_barang,nama_barang,harga,unit,jumlah_barang,total_harga_perbarang,mata_uang,kode_brand,brand,id_customer,nama_customer,cabang_sales,id_distributor,group_category
"IN6048 BRG0005",IN6048,31/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,25,141200,IDR,203,SLCYL,CUST55464,"KLINIK GM",Jakarta,TA,Klinik
"IN6120 BRG0006",IN6120,01/02/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,14,39466,IDR,205,"OGB & PH",CUST55465,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6161 BRG0001",IN6161,27/01/2022,BRG0001,"ACYCLOVIR DUS","4592,1",DUS,24,110208,IDR,206,"OGB & PH",CUST55466,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6292 BRG0002",IN6292,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","3991,9",DUS,10,39910,IDR,203,ETIKAL,CUST55467,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6286 BRG0003",IN6286,23/01/2022,BRG0003,AMPICILLIN,"5780,7",DUS,120,693600,IDR,210,MARCKS,CUST55468,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6008 BRG0004",IN6008,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","6940,3",DUS,12,83280,IDR,201,VNS,CUST55469,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6040 BRG0001",IN6040,31/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,10,11690,IDR,206,"OGB & PH",CUST55470,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6084 BRG0002",IN6084,01/02/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,67,156579,IDR,203,ETIKAL,CUST55471,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6074 BRG0003",IN6074,27/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,98,1047620,IDR,210,MARCKS,CUST55472,"KLINIK GM",Jakarta,TA,Klinik
"IN6200 BRG0004",IN6200,28/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,5,43500,IDR,201,VNS,CUST55473,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6065 BRG0005",IN6065,23/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,4,22592,IDR,203,SLCYL,CUST55474,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6208 BRG0006",IN6208,30/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,8,22552,IDR,205,"OGB & PH",CUST55475,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6148 BRG0007",IN6148,31/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,9,41328,IDR,206,ETIKAL,CUST55476,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6072 BRG0008",IN6072,01/02/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,1,3991,IDR,204,MARCKS,CUST55477,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6095 BRG0009",IN6095,27/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,5,28900,IDR,207,VNS,CUST55478,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6049 BRG0010",IN6049,28/01/2022,BRG0010,PARACETAMOL,"6940,3",DUS,9,62460,IDR,208,SLCYL,CUST55479,"KLINIK GM",Jakarta,TA,Klinik
"IN6039 BRG0001",IN6039,23/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,13,15197,IDR,206,"OGB & PH",CUST55480,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6276 BRG0002",IN6276,30/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,1,2337,IDR,203,ETIKAL,CUST55481,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6015 BRG0003",IN6015,31/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,5,53450,IDR,210,MARCKS,CUST55482,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6185 BRG0004",IN6185,01/02/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,9,78300,IDR,201,VNS,CUST55483,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6258 BRG0005",IN6258,27/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,1,5648,IDR,203,SLCYL,CUST55484,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6070 BRG0006",IN6070,28/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,23,64837,IDR,205,"OGB & PH",CUST55485,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6210 BRG0007",IN6210,23/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,4,18368,IDR,206,ETIKAL,CUST55486,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6083 BRG0008",IN6083,30/01/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,2,7982,IDR,204,MARCKS,CUST55487,"KLINIK GM",Jakarta,TA,Klinik
"IN6322 BRG0009",IN6322,31/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,17,98260,IDR,207,VNS,CUST55488,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6291 BRG0010",IN6291,01/02/2022,BRG0010,PARACETAMOL,"6940,3",DUS,11,76340,IDR,208,SLCYL,CUST55489,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6062 BRG0001",IN6062,27/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,12,14028,IDR,206,"OGB & PH",CUST55490,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6167 BRG0002",IN6167,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,12,28044,IDR,203,ETIKAL,CUST55491,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6289 BRG0003",IN6289,23/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,25,267250,IDR,210,MARCKS,CUST55492,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6305 BRG0004",IN6305,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,14,121800,IDR,201,VNS,CUST55493,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6079 BRG0005",IN6079,31/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,34,192032,IDR,203,SLCYL,CUST55494,"KLINIK GM",Jakarta,TA,Klinik
"IN6320 BRG0006",IN6320,01/02/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,67,188873,IDR,205,"OGB & PH",CUST55495,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6103 BRG0001",IN6103,27/01/2022,BRG0001,"ACYCLOVIR DUS","4592,1",DUS,15,68880,IDR,206,"OGB & PH",CUST55496,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6172 BRG0002",IN6172,28/01/2022,BRG0002,"ALERGINE TABLET SALUT","3991,9",DUS,12,47892,IDR,203,ETIKAL,CUST55497,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6183 BRG0003",IN6183,23/01/2022,BRG0003,AMPICILLIN,"5780,7",DUS,25,144500,IDR,210,MARCKS,CUST55498,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6278 BRG0004",IN6278,30/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","6940,3",DUS,14,97160,IDR,201,VNS,CUST55499,"KLINIK DR. ANDRI",Lampung,TD,Klinik
"IN6186 BRG0001",IN6186,31/01/2022,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,18,21042,IDR,206,"OGB & PH",CUST55500,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6211 BRG0002",IN6211,01/02/2022,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,18,42066,IDR,203,ETIKAL,CUST55501,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6118 BRG0003",IN6118,27/01/2022,BRG0003,AMPICILLIN,"10690,6",DUS,19,203110,IDR,210,MARCKS,CUST55502,"KLINIK GM",Jakarta,TA,Klinik
"IN6162 BRG0004",IN6162,28/01/2022,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,12,104400,IDR,201,VNS,CUST55503,"APOTEK MERDEKA",Bandung,TA,Apotek
"IN6221 BRG0005",IN6221,23/01/2022,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,25,141200,IDR,203,SLCYL,CUST55504,"KLINIK SAHABAT",Tangerang,TD,Klinik
"IN6170 BRG0006",IN6170,30/01/2022,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,14,39466,IDR,205,"OGB & PH",CUST55505,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
"IN6045 BRG0007",IN6045,31/01/2022,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,21,96432,IDR,206,ETIKAL,CUST55506,"APOTEK SAHABAT",Padang,EPM,Apotek
"IN6300 BRG0008",IN6300,01/02/2022,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,22,87802,IDR,204,MARCKS,CUST55507,"APOTEK TAPAK",Aceh,EPM,Apotek
"IN6228 BRG0009",IN6228,27/01/2022,BRG0009,"AMBROXOL HC","5780,7",DUS,12,69360,IDR,207,VNS,CUST55508,"APOTEK MAJA",Kuningan,TA,Apotek
"IN6199 BRG0010",IN6199,28/01/2022,BRG0010,PARACETAMOL,"6940,3",DUS,25,173500,IDR,208,SLCYL,CUST55509,"KLINIK GM",Jakarta,TA,Klinik
